14.23,1.71,2.43,15.6,5.64,3.92,1065,1
13.2,1.78,2.14,11.2,4.38,3.4,1050,1
13.16,2.36,2.67,18.6,5.68,3.17,1185,1
14.37,1.95,2.5,16.8,7.8,3.45,1480,1
13.24,2.59,2.87,21,4.32,2.93,735,1
14.2,1.76,2.45,15.2,6.75,2.85,1450,1
14.39,1.87,2.45,14.6,5.25,3.58,1290,1
14.06,2.15,2.61,17.6,5.05,3.58,1295,1
14.83,1.64,2.17,14,5.2,2.85,1045,1
13.86,1.35,2.27,16,7.22,3.55,1045,1
14.1,2.16,2.3,18,5.75,3.17,1510,1
14.12,1.48,2.32,16.8,5,2.82,1280,1
13.75,1.73,2.41,16,5.6,2.9,1320,1
14.75,1.73,2.39,11.4,5.4,2.73,1150,1
14.38,1.87,2.38,12,7.5,3,1547,1
13.63,1.81,2.7,17.2,7.3,2.88,1310,1
14.3,1.92,2.72,20,6.2,2.65,1280,1
13.83,1.57,2.62,20,6.6,2.57,1130,1
14.19,1.59,2.48,16.5,8.7,2.82,1680,1
13.64,3.1,2.56,15.2,5.1,3.36,845,1
14.06,1.63,2.28,16,5.65,3.71,780,1
12.93,3.8,2.65,18.6,4.5,3.52,770,1
13.71,1.86,2.36,16.6,3.8,4,1035,1
12.85,1.6,2.52,17.8,3.93,3.63,1015,1
13.5,1.81,2.61,20,3.52,3.82,845,1
13.05,2.05,3.22,25,3.58,3.2,830,1
13.39,1.77,2.62,16.1,4.8,3.22,1195,1
13.3,1.72,2.14,17,3.95,2.77,1285,1
13.87,1.9,2.8,19.4,4.5,3.4,915,1
14.02,1.68,2.21,16,4.7,3.59,1035,1
13.73,1.5,2.7,22.5,5.7,2.71,1285,1
13.58,1.66,2.36,19.1,6.9,2.88,1515,1
13.68,1.83,2.36,17.2,3.84,2.87,990,1
13.76,1.53,2.7,19.5,5.4,3,1235,1
13.51,1.8,2.65,19,4.2,2.87,1095,1
13.48,1.81,2.41,20.5,5.1,3.47,920,1
13.28,1.64,2.84,15.5,4.6,2.78,880,1
13.05,1.65,2.55,18,4.25,2.51,1105,1
13.07,1.5,2.1,15.5,3.7,2.69,1020,1
14.22,3.99,2.51,13.2,5.1,3.53,760,1
13.56,1.71,2.31,16.2,6.13,3.38,795,1
13.41,3.84,2.12,18.8,4.28,3,1035,1
13.88,1.89,2.59,15,5.43,3.56,1095,1
13.24,3.98,2.29,17.5,4.36,3,680,1
13.05,1.77,2.1,17,5.04,3.35,885,1
14.21,4.04,2.44,18.9,5.24,3.33,1080,1
14.38,3.59,2.28,16,4.9,3.44,1065,1
13.9,1.68,2.12,16,6.1,3.33,985,1
14.1,2.02,2.4,18.8,6.2,2.75,1060,1
13.94,1.73,2.27,17.4,8.9,3.1,1260,1
13.05,1.73,2.04,12.4,7.2,2.91,1150,1
13.83,1.65,2.6,17.2,5.6,3.37,1265,1
13.82,1.75,2.42,14,7.05,3.26,1190,1
13.77,1.9,2.68,17.1,6.3,2.93,1375,1
13.74,1.67,2.25,16.4,5.85,3.2,1060,1
13.56,1.73,2.46,20.5,6.25,3.03,1120,1
14.22,1.7,2.3,16.3,6.38,3.31,970,1
13.29,1.97,2.68,16.8,6,2.84,1270,1
13.72,1.43,2.5,16.7,6.8,2.87,1285,1
12.37,0.94,1.36,10.6,1.95,1.82,520,0
12.33,1.1,2.28,16,3.27,1.67,680,0
12.64,1.36,2.02,16.8,5.75,1.59,450,0
13.67,1.25,1.92,18,3.8,2.46,630,0
12.37,1.13,2.16,19,4.45,2.87,420,0
12.17,1.45,2.53,19,2.95,2.23,355,0
12.37,1.21,2.56,18.1,4.6,2.3,678,0
13.11,1.01,1.7,15,5.3,3.18,502,0
12.37,1.17,1.92,19.6,4.68,3.48,510,0
13.34,0.94,2.36,17,3.17,1.93,750,0
12.21,1.19,1.75,16.8,2.85,3.07,718,0
12.29,1.61,2.21,20.4,3.05,1.82,870,0
13.86,1.51,2.67,25,3.38,3.16,410,0
13.49,1.66,2.24,24,3.74,2.78,472,0
12.99,1.67,2.6,30,3.35,3.5,985,0
11.96,1.09,2.3,21,3.21,3.13,886,0
11.66,1.88,1.92,16,3.8,2.14,428,0
13.03,0.9,1.71,16,4.6,2.48,392,0
11.84,2.89,2.23,18,2.65,2.52,500,0
12.33,0.99,1.95,14.8,3.4,2.31,750,0
12.7,3.87,2.4,23,2.57,3.13,463,0
12,0.92,2,19,2.5,3.12,278,0
12.72,1.81,2.2,18.8,3.9,3.14,714,0
12.08,1.13,2.51,24,2.2,2.72,630,0
13.05,3.86,2.32,22.5,4.8,2.01,515,0
11.84,0.89,2.58,18,3.05,3.08,520,0
12.67,0.98,2.24,18,2.62,3.16,450,0
12.16,1.61,2.31,22.8,2.45,2.26,495,0
11.65,1.67,2.62,26,2.6,3.21,562,0
11.64,2.06,2.46,21.6,2.8,2.75,680,0
12.08,1.33,2.3,23.6,1.74,3.21,625,0
12.08,1.83,2.32,18.5,2.4,2.27,480,0
12,1.51,2.42,22,3.6,2.65,450,0
12.69,1.53,2.26,20.7,3.05,2.06,495,0
12.29,2.83,2.22,18,2.15,3.3,290,0
11.62,1.99,2.28,18,3.25,2.96,345,0
12.47,1.52,2.2,19,2.6,2.63,937,0
11.81,2.12,2.74,21.5,2.5,2.26,625,0
12.29,1.41,1.98,16,2.9,2.74,428,0
12.37,1.07,2.1,18.5,4.5,2.77,660,0
12.29,3.17,2.21,18,2.3,2.83,406,0
12.08,2.08,1.7,17.5,3.3,2.96,710,0
12.6,1.34,1.9,18.5,2.45,2.77,562,0
12.34,2.45,2.46,21,2.8,3.38,438,0
11.82,1.72,1.88,19.5,2.06,2.44,415,0
12.51,1.73,1.98,20.5,2.94,3.57,672,0
12.42,2.55,2.27,22,2.7,3.3,315,0
12.25,1.73,2.12,19,3.4,3.17,510,0
12.72,1.75,2.28,22.5,3.3,2.42,488,0
12.22,1.29,1.94,19,2.7,3.02,312,0
11.61,1.35,2.7,20,2.65,3.26,680,0
11.46,3.74,1.82,19.5,2.9,2.81,562,0
12.52,2.43,2.17,21,2,2.78,325,0
11.76,2.68,2.92,20,3.8,2.5,607,0
11.41,0.74,2.5,21,3.08,2.31,434,0
12.08,1.39,2.5,22.5,2.9,3.19,385,0
11.03,1.51,2.2,21.5,1.9,2.87,407,0
11.82,1.47,1.99,20.8,1.95,3.33,495,0
12.42,1.61,2.19,22.5,2.06,2.96,345,0
12.77,3.43,1.98,16,3.4,2.12,372,0
12,3.43,2,19,1.28,3.05,564,0
11.45,2.4,2.42,20,3.25,3.39,625,0
11.56,2.05,3.23,28.5,6,3.69,465,0
12.42,4.43,2.73,26.5,2.08,3.12,365,0
13.05,5.8,2.13,21.5,2.6,3.1,380,0
11.87,4.31,2.39,21,2.8,3.64,380,0
12.07,2.16,2.17,21,2.76,3.28,378,0
12.43,1.53,2.29,21.5,3.94,2.84,352,0
11.79,2.13,2.78,28.5,3,2.44,466,0
12.37,1.63,2.3,24.5,2.12,2.78,342,0
12.04,4.3,2.38,22,2.6,2.57,580,0
