14.23,15.6,1065,1
13.2,11.2,1050,1
13.16,18.6,1185,1
14.37,16.8,1480,1
13.24,21,735,1
14.2,15.2,1450,1
14.39,14.6,1290,1
14.06,17.6,1295,1
14.83,14,1045,1
13.86,16,1045,1
14.1,18,1510,1
14.12,16.8,1280,1
13.75,16,1320,1
14.75,11.4,1150,1
14.38,12,1547,1
13.63,17.2,1310,1
14.3,20,1280,1
13.83,20,1130,1
14.19,16.5,1680,1
13.64,15.2,845,1
14.06,16,780,1
12.93,18.6,770,1
13.71,16.6,1035,1
12.85,17.8,1015,1
13.5,20,845,1
13.05,25,830,1
13.39,16.1,1195,1
13.3,17,1285,1
13.87,19.4,915,1
14.02,16,1035,1
13.73,22.5,1285,1
13.58,19.1,1515,1
13.68,17.2,990,1
13.76,19.5,1235,1
13.51,19,1095,1
13.48,20.5,920,1
13.28,15.5,880,1
13.05,18,1105,1
13.07,15.5,1020,1
14.22,13.2,760,1
13.56,16.2,795,1
13.41,18.8,1035,1
13.88,15,1095,1
13.24,17.5,680,1
13.05,17,885,1
14.21,18.9,1080,1
14.38,16,1065,1
13.9,16,985,1
14.1,18.8,1060,1
13.94,17.4,1260,1
13.05,12.4,1150,1
13.83,17.2,1265,1
13.82,14,1190,1
13.77,17.1,1375,1
13.74,16.4,1060,1
13.56,20.5,1120,1
14.22,16.3,970,1
13.29,16.8,1270,1
13.72,16.7,1285,1
12.37,10.6,520,0
12.33,16,680,0
12.64,16.8,450,0
13.67,18,630,0
12.37,19,420,0
12.17,19,355,0
12.37,18.1,678,0
13.11,15,502,0
12.37,19.6,510,0
13.34,17,750,0
12.21,16.8,718,0
12.29,20.4,870,0
13.86,25,410,0
13.49,24,472,0
12.99,30,985,0
11.96,21,886,0
11.66,16,428,0
13.03,16,392,0
11.84,18,500,0
12.33,14.8,750,0
12.7,23,463,0
12,19,278,0
12.72,18.8,714,0
12.08,24,630,0
13.05,22.5,515,0
11.84,18,520,0
12.67,18,450,0
12.16,22.8,495,0
11.65,26,562,0
11.64,21.6,680,0
12.08,23.6,625,0
12.08,18.5,480,0
12,22,450,0
12.69,20.7,495,0
12.29,18,290,0
11.62,18,345,0
12.47,19,937,0
11.81,21.5,625,0
12.29,16,428,0
12.37,18.5,660,0
12.29,18,406,0
12.08,17.5,710,0
12.6,18.5,562,0
12.34,21,438,0
11.82,19.5,415,0
12.51,20.5,672,0
12.42,22,315,0
12.25,19,510,0
12.72,22.5,488,0
12.22,19,312,0
11.61,20,680,0
11.46,19.5,562,0
12.52,21,325,0
11.76,20,607,0
11.41,21,434,0
12.08,22.5,385,0
11.03,21.5,407,0
11.82,20.8,495,0
12.42,22.5,345,0
12.77,16,372,0
12,19,564,0
11.45,20,625,0
11.56,28.5,465,0
12.42,26.5,365,0
13.05,21.5,380,0
11.87,21,380,0
12.07,21,378,0
12.43,21.5,352,0
11.79,28.5,466,0
12.37,24.5,342,0
12.04,22,580,0
