14.23,1.71,2.43,15.6,1065,1
13.2,1.78,2.14,11.2,1050,1
13.16,2.36,2.67,18.6,1185,1
14.37,1.95,2.5,16.8,1480,1
13.24,2.59,2.87,21,735,1
14.2,1.76,2.45,15.2,1450,1
14.39,1.87,2.45,14.6,1290,1
14.06,2.15,2.61,17.6,1295,1
14.83,1.64,2.17,14,1045,1
13.86,1.35,2.27,16,1045,1
14.1,2.16,2.3,18,1510,1
14.12,1.48,2.32,16.8,1280,1
13.75,1.73,2.41,16,1320,1
14.75,1.73,2.39,11.4,1150,1
14.38,1.87,2.38,12,1547,1
13.63,1.81,2.7,17.2,1310,1
14.3,1.92,2.72,20,1280,1
13.83,1.57,2.62,20,1130,1
14.19,1.59,2.48,16.5,1680,1
13.64,3.1,2.56,15.2,845,1
14.06,1.63,2.28,16,780,1
12.93,3.8,2.65,18.6,770,1
13.71,1.86,2.36,16.6,1035,1
12.85,1.6,2.52,17.8,1015,1
13.5,1.81,2.61,20,845,1
13.05,2.05,3.22,25,830,1
13.39,1.77,2.62,16.1,1195,1
13.3,1.72,2.14,17,1285,1
13.87,1.9,2.8,19.4,915,1
14.02,1.68,2.21,16,1035,1
13.73,1.5,2.7,22.5,1285,1
13.58,1.66,2.36,19.1,1515,1
13.68,1.83,2.36,17.2,990,1
13.76,1.53,2.7,19.5,1235,1
13.51,1.8,2.65,19,1095,1
13.48,1.81,2.41,20.5,920,1
13.28,1.64,2.84,15.5,880,1
13.05,1.65,2.55,18,1105,1
13.07,1.5,2.1,15.5,1020,1
14.22,3.99,2.51,13.2,760,1
13.56,1.71,2.31,16.2,795,1
13.41,3.84,2.12,18.8,1035,1
13.88,1.89,2.59,15,1095,1
13.24,3.98,2.29,17.5,680,1
13.05,1.77,2.1,17,885,1
14.21,4.04,2.44,18.9,1080,1
14.38,3.59,2.28,16,1065,1
13.9,1.68,2.12,16,985,1
14.1,2.02,2.4,18.8,1060,1
13.94,1.73,2.27,17.4,1260,1
13.05,1.73,2.04,12.4,1150,1
13.83,1.65,2.6,17.2,1265,1
13.82,1.75,2.42,14,1190,1
13.77,1.9,2.68,17.1,1375,1
13.74,1.67,2.25,16.4,1060,1
13.56,1.73,2.46,20.5,1120,1
14.22,1.7,2.3,16.3,970,1
13.29,1.97,2.68,16.8,1270,1
13.72,1.43,2.5,16.7,1285,1
12.37,0.94,1.36,10.6,520,0
12.33,1.1,2.28,16,680,0
12.64,1.36,2.02,16.8,450,0
13.67,1.25,1.92,18,630,0
12.37,1.13,2.16,19,420,0
12.17,1.45,2.53,19,355,0
12.37,1.21,2.56,18.1,678,0
13.11,1.01,1.7,15,502,0
12.37,1.17,1.92,19.6,510,0
13.34,0.94,2.36,17,750,0
12.21,1.19,1.75,16.8,718,0
12.29,1.61,2.21,20.4,870,0
13.86,1.51,2.67,25,410,0
13.49,1.66,2.24,24,472,0
12.99,1.67,2.6,30,985,0
11.96,1.09,2.3,21,886,0
11.66,1.88,1.92,16,428,0
13.03,0.9,1.71,16,392,0
11.84,2.89,2.23,18,500,0
12.33,0.99,1.95,14.8,750,0
12.7,3.87,2.4,23,463,0
12,0.92,2,19,278,0
12.72,1.81,2.2,18.8,714,0
12.08,1.13,2.51,24,630,0
13.05,3.86,2.32,22.5,515,0
11.84,0.89,2.58,18,520,0
12.67,0.98,2.24,18,450,0
12.16,1.61,2.31,22.8,495,0
11.65,1.67,2.62,26,562,0
11.64,2.06,2.46,21.6,680,0
12.08,1.33,2.3,23.6,625,0
12.08,1.83,2.32,18.5,480,0
12,1.51,2.42,22,450,0
12.69,1.53,2.26,20.7,495,0
12.29,2.83,2.22,18,290,0
11.62,1.99,2.28,18,345,0
12.47,1.52,2.2,19,937,0
11.81,2.12,2.74,21.5,625,0
12.29,1.41,1.98,16,428,0
12.37,1.07,2.1,18.5,660,0
12.29,3.17,2.21,18,406,0
12.08,2.08,1.7,17.5,710,0
12.6,1.34,1.9,18.5,562,0
12.34,2.45,2.46,21,438,0
11.82,1.72,1.88,19.5,415,0
12.51,1.73,1.98,20.5,672,0
12.42,2.55,2.27,22,315,0
12.25,1.73,2.12,19,510,0
12.72,1.75,2.28,22.5,488,0
12.22,1.29,1.94,19,312,0
11.61,1.35,2.7,20,680,0
11.46,3.74,1.82,19.5,562,0
12.52,2.43,2.17,21,325,0
11.76,2.68,2.92,20,607,0
11.41,0.74,2.5,21,434,0
12.08,1.39,2.5,22.5,385,0
11.03,1.51,2.2,21.5,407,0
11.82,1.47,1.99,20.8,495,0
12.42,1.61,2.19,22.5,345,0
12.77,3.43,1.98,16,372,0
12,3.43,2,19,564,0
11.45,2.4,2.42,20,625,0
11.56,2.05,3.23,28.5,465,0
12.42,4.43,2.73,26.5,365,0
13.05,5.8,2.13,21.5,380,0
11.87,4.31,2.39,21,380,0
12.07,2.16,2.17,21,378,0
12.43,1.53,2.29,21.5,352,0
11.79,2.13,2.78,28.5,466,0
12.37,1.63,2.3,24.5,342,0
12.04,4.3,2.38,22,580,0
